Points,Team1,Team2
26.6154,25.3558,
29.2308,23.2019,
29.3846,28.4327,
29.6923,26.8942,
30.3077,,25.0481
31.3846,33.9712,
32.1538,25.9712,
32.3077,32.4327,
33.6923,29.6635,
34.4615,24.4327,
35.2308,36.8942,
35.6923,30.7404,
36.3077,,31.9712
38.4615,26.125,
39.2308,36.125,
39.8462,,40.2788
41.2308,28.4327,
41.2308,24.5865,
42.1538,,48.5865
43.0769,24.5865,
44,,31.9712
44.9231,,39.9712
46.3077,29.9712,
49.6923,,47.0481
50.4615,24.125,
50.7692,,37.8173
51.2308,,37.6635
51.6923,40.125,
52.1538,,47.0481
52.7692,,48.8942
54.7692,,51.3558
55.5385,,42.125
56.4615,,46.125
59.3846,,31.9712
59.6923,33.2019,
60,47.0481,
62.4615,,44.2788
64.1538,,37.6635
67.2308,29.0481,
