Scores,Type 1 ,Type 2
26.1538,,118.6538
26.1538,,94.6538
26.6154,25.3558,
27.1154,,138.3462
27.6923,,154.9615
28.2692,,135.8846
28.7821,,102.0385
29.2308,23.2019,
29.3846,28.4327,
29.6923,26.8942,
31.3846,33.9712,
31.5385,,142.0385
31.5385,,114.9615
32.1538,25.9712,
32.3077,32.4327,
33.5897,,174.0385
33.6923,29.6635,
34.4615,24.4327,
34.6795,,116.1923
34.9359,,135.8846
35.2308,36.8942,
35.2564,,197.4231
35.2564,,174.0385
35.6923,30.7404,
37.8205,,129.7308
37.8205,,116.1923
37.8846,,179.5769
37.8846,,161.1154
38.4615,26.125,
39.2308,36.125,
40.3846,,138.9615
41.1538,,113.7308
41.2308,28.4327,
41.2308,24.5865,
41.6667,,183.2692
42.2436,,156.8077
42.8205,,132.1923
42.8205,,163.5769
43.0769,24.5865,
43.0769,,165.4231
43.4615,,125.4231
43.4615,,198.0385
43.7179,,203.5769
45,,154.9615
45.1923,,182.6538
45.8333,,129.7308
46.3077,29.9712,
47.3077,,170.3462
47.3718,,154.3462
47.6282,,110.6538
50.1923,,133.4231
50.4615,24.125,
51.6923,40.125,
59.6923,33.2019,
60,47.0481,
67.2308,29.0481,
