height,weight
149,85
149,68
150,58
150,48
150,43
150,36
151,60
152,75
152,72
152,59
153,70
153,59
153,48
154,76
154,56
154,50
155,62
155,54
156,75
156,65
156,59
156,58
156,57
156,52
156,51
157,82
157,62
157,62
157,56
158,110
158,76
158,72
158,60
158,60
158,56
158,55
158,54
159,95
159,72
159,62
159,53
159,46
160,85
160,75
160,75
160,70
160,69
160,59
160,57
160,42
161,69
161,59
162,77
162,67
162,66
162,65
162,63
162,61
162,55
163,82
163,70
163,67
163,62
164,98
164,75
164,73
164,68
164,64
164,63
164,62
164,58
165,117
165,76
165,72
165,72
165,70
165,70
165,65
165,62
165,60
165,53
165,52
166,81
166,69
166,66
166,64
166,48
167,63
168,85
168,81
168,75
168,74
169,65
170,82
170,75
171,73
172,102
172,96
172,92
172,72
172,70
172,70
173,85
173,81
176,99
176,84
176,60
177,75
178,80
178,73
180,103
182,88
182,82
182,82
182,82
182,80
