Initial Scores,Current Session Scores
152,403
155,403
159,403
168,406
168,406
152,407
162,407
155,408
174,408
158,409
171,410
155,411
162,411
168,412
214,413
161,415
156,416
171,416
177,416
164,417
159,419
187,419
155,420
164,421
181,421
159,424
168,424
175,424
197,424
163,426
186,427
161,429
183,430
153,431
169,431
204,432
228,432
190,433
176,435
185,436
241,438
169,439
192,441
215,442
162,444
184,446
201,446
225,449
177,450
194,451
189,458
205,458
237,461
160,465
204,468
181,471
219,474
196,475
185,487
206,495
224,498
