time,value
1903,-1.12422
1903.08333333333,-1.16433
1903.16666666667,-1.34911
1903.25,-0.94544
1903.33333333333,-0.65367
1903.41666666667,-0.17833
1903.5,-0.11711
1903.58333333333,-0.28167
1903.66666666667,-1.19522
1903.75,-1.43289
1903.83333333333,-2.00689
1903.91666666667,-0.77333
1904,0.18578
1904.08333333333,1.50567
1904.16666666667,1.59089
1904.25,1.18456
1904.33333333333,1.15633
1904.41666666667,1.15167
1904.5,1.23289
1904.58333333333,1.65833
1904.66666666667,2.13478
1904.75,1.34711
1904.83333333333,-0.44689
1904.91666666667,-1.96333
1905,-1.66422
1905.08333333333,-0.56433
1905.16666666667,-0.66911
1905.25,-0.99544
1905.33333333333,-1.28367
1905.41666666667,-1.49833
1905.5,-1.60711
1905.58333333333,-2.11167
1905.66666666667,-2.85522
1905.75,-1.25289
1905.83333333333,0.78311
1905.91666666667,1.01667
1906,1.20578
1906.08333333333,0.11567
1906.16666666667,-2.08911
1906.25,-2.00544
1906.33333333333,-1.36367
1906.41666666667,-1.67833
1906.5,-2.50711
1906.58333333333,-3.58167
1906.66666666667,-4.35522
1906.75,-3.62289
1906.83333333333,-3.78689
1906.91666666667,-3.82333
1907,-3.55422
1907.08333333333,-2.04433
1907.16666666667,-2.53911
1907.25,-0.61544
1907.33333333333,-0.31367
1907.41666666667,-0.37833
1907.5,-0.50711
1907.58333333333,-1.10167
1907.66666666667,-1.59522
1907.75,-1.25289
1907.83333333333,-1.78689
1907.91666666667,-0.26333
1908,0.54578
1908.08333333333,1.01567
1908.16666666667,1.28089
1908.25,1.63456
1908.33333333333,1.59633
1908.41666666667,1.34167
1908.5,1.16289
1908.58333333333,1.52833
1908.66666666667,2.51478
1908.75,0.94711
1908.83333333333,0.16311
1908.91666666667,0.77667
1909,0.75578
1909.08333333333,0.36567
1909.16666666667,1.05089
1909.25,1.47456
1909.33333333333,1.54633
1909.41666666667,1.56167
1909.5,1.24289
1909.58333333333,0.50833
1909.66666666667,-1.84522
1909.75,-3.21289
1909.83333333333,-1.86689
1909.91666666667,-3.37333
1910,-3.09422
1910.08333333333,-1.76433
1910.16666666667,-0.20911
1910.25,0.06456
1910.33333333333,-0.18367
1910.41666666667,0.11167
1910.5,0.48289
1910.58333333333,0.84833
1910.66666666667,0.99478
1910.75,0.30711
1910.83333333333,-0.11689
1910.91666666667,0.50667
1911,1.29578
1911.08333333333,-0.51433
1911.16666666667,-0.26911
1911.25,-0.13544
1911.33333333333,0.30633
1911.41666666667,-0.01833
1911.5,0.01289
1911.58333333333,0.22833
1911.66666666667,0.05478
1911.75,-2.08289
1911.83333333333,-1.12689
1911.91666666667,0.46667
1912,-0.17422
1912.08333333333,-2.17433
1912.16666666667,-3.99911
1912.25,-4.20544
1912.33333333333,-3.23367
1912.41666666667,-2.77833
1912.5,-2.70711
1912.58333333333,-2.48167
1912.66666666667,-1.52522
1912.75,0.77711
1912.83333333333,0.86311
1912.91666666667,0.60667
1913,1.60578
1913.08333333333,1.25567
1913.16666666667,0.69089
1913.25,0.52456
1913.33333333333,0.51633
1913.41666666667,0.71167
1913.5,1.08289
1913.58333333333,1.63833
1913.66666666667,3.07478
1913.75,3.89711
1913.83333333333,2.68311
1913.91666666667,2.51667
1914,1.13578
1914.08333333333,-0.13433
1914.16666666667,0.05089
1914.25,0.26456
1914.33333333333,0.63633
1914.41666666667,0.84167
1914.5,0.59289
1914.58333333333,0.33833
1914.66666666667,1.15478
1914.75,0.90711
1914.83333333333,-0.61689
1914.91666666667,-1.83333
1915,-0.13422
1915.08333333333,0.77567
1915.16666666667,1.24089
1915.25,0.95456
1915.33333333333,0.70633
1915.41666666667,0.09167
1915.5,-0.13711
1915.58333333333,-0.33167
1915.66666666667,-0.73522
1915.75,-1.13289
1915.83333333333,-1.54689
1915.91666666667,0.05667
1916,0.07578
1916.08333333333,0.49567
1916.16666666667,0.66089
1916.25,-0.09544
1916.33333333333,-0.66367
1916.41666666667,-0.92833
1916.5,-1.17711
1916.58333333333,-2.72167
1916.66666666667,-4.54522
1916.75,-4.16289
1916.83333333333,-2.36689
1916.91666666667,-2.51333
1917,-1.11422
1917.08333333333,-1.63433
1917.16666666667,-2.96911
1917.25,-2.25544
1917.33333333333,-1.40367
1917.41666666667,-0.85833
1917.5,-1.48711
1917.58333333333,-2.84167
1917.66666666667,-2.13522
1917.75,-1.07289
1917.83333333333,0.68311
1917.91666666667,1.01667
1918,0.29578
1918.08333333333,-0.40433
1918.16666666667,1.26089
1918.25,1.72456
1918.33333333333,1.19633
1918.41666666667,1.15167
1918.5,0.75289
1918.58333333333,0.22833
1918.66666666667,-0.35522
1918.75,-0.29289
1918.83333333333,-0.00689
1918.91666666667,0.08667
1919,0.79578
1919.08333333333,-0.18433
1919.16666666667,-1.02911
1919.25,-0.92544
1919.33333333333,-0.93367
1919.41666666667,-1.23833
1919.5,-1.58711
1919.58333333333,-1.47167
1919.66666666667,-1.56522
1919.75,-1.62289
1919.83333333333,-0.55689
1919.91666666667,-0.80333
1920,0.94578
1920.08333333333,1.31567
1920.16666666667,1.24089
1920.25,1.11456
1920.33333333333,0.67633
1920.41666666667,0.73167
1920.5,1.17289
1920.58333333333,1.82833
1920.66666666667,2.58478
1920.75,2.43711
1920.83333333333,1.94311
1920.91666666667,0.34667
1921,0.70578
1921.08333333333,0.46567
1921.16666666667,0.66089
1921.25,1.03456
1921.33333333333,1.54633
1921.41666666667,1.38167
1921.5,1.01289
1921.58333333333,0.88833
1921.66666666667,1.02478
1921.75,-0.25289
1921.83333333333,-0.97689
1921.91666666667,0.81667
1922,1.04578
1922.08333333333,1.17567
1922.16666666667,1.47089
1922.25,1.82456
1922.33333333333,1.69633
1922.41666666667,1.78167
1922.5,1.79289
1922.58333333333,2.28833
1922.66666666667,3.60478
1922.75,4.39711
1922.83333333333,2.65311
1922.91666666667,1.59667
1923,2.10578
1923.08333333333,2.88567
1923.16666666667,2.19089
1923.25,1.36456
1923.33333333333,0.75633
1923.41666666667,0.57167
1923.5,0.71289
1923.58333333333,0.93833
1923.66666666667,1.19478
1923.75,0.42711
1923.83333333333,-0.70689
1923.91666666667,-0.81333
1924,0.56578
1924.08333333333,0.20567
1924.16666666667,-1.47911
1924.25,-2.40544
1924.33333333333,-2.61367
1924.41666666667,-1.96833
1924.5,-1.31711
1924.58333333333,-1.40167
1924.66666666667,-2.93522
1924.75,-0.79289
1924.83333333333,0.52311
1924.91666666667,0.21667
1925,0.55578
1925.08333333333,-0.00433
1925.16666666667,0.54089
1925.25,1.00456
1925.33333333333,0.82633
1925.41666666667,0.68167
1925.5,0.93289
1925.58333333333,1.21833
1925.66666666667,1.95478
1925.75,1.21711
1925.83333333333,-0.62689
1925.91666666667,-0.50333
1926,-1.43422
1926.08333333333,-3.68433
1926.16666666667,-3.73911
1926.25,-5.83544
1926.33333333333,-6.99367
1926.41666666667,-6.08833
1926.5,-5.79711
1926.58333333333,-6.36167
1926.66666666667,-4.59522
1926.75,-3.93289
1926.83333333333,-1.73689
1926.91666666667,-0.20333
1927,0.10578
1927.08333333333,0.84567
1927.16666666667,0.89089
1927.25,0.28456
1927.33333333333,0.06633
1927.41666666667,-0.01833
1927.5,-0.27711
1927.58333333333,-0.18167
1927.66666666667,0.00478
1927.75,0.40711
1927.83333333333,1.11311
1927.91666666667,1.14667
1928,-1.00422
1928.08333333333,-0.36433
1928.16666666667,1.21089
1928.25,1.09456
1928.33333333333,0.96633
1928.41666666667,0.91167
1928.5,0.61289
1928.58333333333,0.23833
1928.66666666667,-1.38522
1928.75,-0.60289
1928.83333333333,-0.02689
1928.91666666667,-1.17333
1929,-1.53422
1929.08333333333,-2.09433
1929.16666666667,-2.38911
1929.25,-0.78544
1929.33333333333,0.01633
1929.41666666667,0.48167
1929.5,0.25289
1929.58333333333,0.40833
1929.66666666667,0.54478
1929.75,-0.85289
1929.83333333333,-1.30689
1929.91666666667,-0.72333
1930,-0.72422
1930.08333333333,0.02567
1930.16666666667,0.23089
1930.25,0.26456
1930.33333333333,0.15633
1930.41666666667,0.05167
1930.5,0.26289
1930.58333333333,0.47833
1930.66666666667,0.87478
1930.75,0.74711
1930.83333333333,0.02311
1930.91666666667,-0.83333
1931,-0.92422
1931.08333333333,-1.05433
1931.16666666667,-0.67911
1931.25,-0.54544
1931.33333333333,-0.61367
1931.41666666667,-0.96833
1931.5,-1.53711
1931.58333333333,-2.52167
1931.66666666667,-2.98522
1931.75,-1.34289
1931.83333333333,-0.27689
1931.91666666667,-0.60333
1932,0.58578
1932.08333333333,1.80567
1932.16666666667,1.60089
1932.25,1.09456
1932.33333333333,0.59633
1932.41666666667,0.19167
1932.5,0.12289
1932.58333333333,0.17833
1932.66666666667,0.23478
1932.75,-0.13289
1932.83333333333,-0.44689
1932.91666666667,-0.97333
1933,-0.32422
1933.08333333333,0.15567
1933.16666666667,0.31089
1933.25,0.32456
1933.33333333333,0.40633
1933.41666666667,0.48167
1933.5,0.57289
1933.58333333333,-0.26167
1933.66666666667,-2.75522
1933.75,-2.30289
1933.83333333333,-1.17689
